t 1 2 3 4 jF0004 jxH0402 jyH0402 jV0300 erroc errol erro dt rep
5.0100000000e-01 7.61707 9.9974 9.9974 7.61707 5.23673 5.23673 -0.238033 -2.1423 -12 -12 -12 -2 0
5.1100000000e-01 7.58911 9.9607 9.9607 7.58911 5.21751 5.21751 -0.23716 -2.13444 -12 -12 -12 -2 0
5.2100000000e-01 7.54649 9.90477 9.90477 7.54649 5.18821 5.18821 -0.235828 -2.12245 -12 -12 -12 -2 0
5.3100000000e-01 7.48953 9.83 9.83 7.48953 5.14905 5.14905 -0.234048 -2.10643 -12 -12 -12 -2 0
5.4100000000e-01 7.41859 9.7369 9.7369 7.41859 5.10028 5.10028 -0.231831 -2.08648 -12 -12 -12 -2 0
5.5100000000e-01 7.3341 9.626 9.626 7.3341 5.04219 5.04219 -0.22919 -2.06271 -12 -12 -12 -2 0
5.6100000000e-01 7.23651 9.49793 9.49793 7.23651 4.9751 4.9751 -0.226141 -2.03527 -12 -12 -12 -2 0
5.7100000000e-01 7.12636 9.35335 9.35335 7.12636 4.89937 4.89937 -0.222699 -2.00429 -12 -12 -12 -2 0
5.8100000000e-01 7.0042 9.19301 9.19301 7.0042 4.81539 4.81539 -0.218881 -1.96993 -12 -12 -12 -2 0
5.9100000000e-01 6.87062 9.0177 9.0177 6.87062 4.72355 4.72355 -0.214707 -1.93236 -12 -12 -12 -2 0
6.0100000000e-01 6.72628 8.82825 8.82825 6.72628 4.62432 4.62432 -0.210196 -1.89177 -12 -12 -12 -2 0
6.1100000000e-01 6.57185 8.62556 8.62556 6.57185 4.51815 4.51815 -0.20537 -1.84833 -12 -12 -12 -2 0
6.2100000000e-01 6.40804 8.41056 8.41056 6.40804 4.40553 4.40553 -0.200251 -1.80226 -12 -12 -12 -2 0
6.3100000000e-01 6.23559 8.18422 8.18422 6.23559 4.28697 4.28697 -0.194862 -1.75376 -12 -12 -12 -2 0
6.4100000000e-01 6.05527 7.94755 7.94755 6.05527 4.163 4.163 -0.189227 -1.70305 -12 -12 -12 -2 0
6.5100000000e-01 5.86787 7.70159 7.70159 5.86787 4.03416 4.03416 -0.183371 -1.65034 -12 -12 -12 -2 0
6.6100000000e-01 5.6742 7.44739 7.44739 5.6742 3.90102 3.90102 -0.177319 -1.59587 -12 -12 -12 -2 0
6.7100000000e-01 5.47509 7.18606 7.18606 5.47509 3.76413 3.76413 -0.171097 -1.53987 -12 -12 -12 -2 0
6.8100000000e-01 5.27138 6.91869 6.91869 5.27138 3.62407 3.62407 -0.164731 -1.48258 -12 -12 -12 -2 0
6.9100000000e-01 5.06392 6.64639 6.64639 5.06392 3.48144 3.48144 -0.158247 -1.42423 -12 -12 -12 -2 0
7.0100000000e-01 4.85356 6.3703 6.3703 4.85356 3.33683 3.33683 -0.151674 -1.36506 -12 -12 -12 -2 0
7.1100000000e-01 4.64118 6.09154 6.09154 4.64118 3.19081 3.19081 -0.145037 -1.30533 -12 -12 -12 -2 0
7.2100000000e-01 4.42762 5.81125 5.81125 4.42762 3.04399 3.04399 -0.138363 -1.24527 -12 -12 -12 -2 0
7.3100000000e-01 4.21374 5.53053 5.53053 4.21374 2.89694 2.89694 -0.131679 -1.18511 -12 -12 -12 -2 0
7.4100000000e-01 4.00039 5.25051 5.25051 4.00039 2.75027 2.75027 -0.125012 -1.12511 -12 -12 -12 -2 0
7.5100000000e-01 3.78841 4.97229 4.97229 3.78841 2.60453 2.60453 -0.118388 -1.06549 -12 -12 -12 -2 0
7.6100000000e-01 3.57862 4.69695 4.69695 3.57862 2.4603 2.4603 -0.111832 -1.00649 -12 -12 -12 -2 0
7.7100000000e-01 3.37184 4.42554 4.42554 3.37184 2.31814 2.31814 -0.10537 -0.94833 -12 -12 -12 -2 0
7.8100000000e-01 3.16884 4.1591 4.1591 3.16884 2.17858 2.17858 -0.0990262 -0.891236 -12 -12 -12 -2 0
7.9100000000e-01 2.97039 3.89864 3.89864 2.97039 2.04214 2.04214 -0.0928247 -0.835423 -12 -12 -12 -2 0
8.0100000000e-01 2.77723 3.64512 3.64512 2.77723 1.90935 1.90935 -0.0867886 -0.781097 -12 -12 -12 -2 0
